well said! X,pos
@TonyAbbottMHR would do similar! #wra “: ...Every day—let’s make sure all our veterans know how much we appreciate them.”,pos
- I would say not many veterans respect or appreciate you and don't really give ONE shit what you have to say anymore ! #SUCK,neg
we should appreciate all the man and women who have given up so much to protect all Americans not just on one day but every day,pos
yes thanks president,pos
many veterans have paid a high price(s) for our country (mentally physically financially etc &amp; their families also !,neg
maybe you could start by NOT CUTTING their benefits and making sure they are well supplied.,neg
Time to give All Veterans FREE Healthcare Meds &amp; Treatment lets see the republicans try 2 weasel out of that &amp; they will try,neg
They are ALL heroes by default.,pos
How can I find help for my dad who is getting chemo/radiation yet insurance refuses to pay? ​http://t.co/3RmYYWQhk,neg
That's why you have death panels for the troops huh. Better run while you can TRAITOR before it's too late. GO FUCK YOURSELF,neg
how about by not sending 1500 more Americans to die?,neg
thAt true Sir,pos
obama u fuck,neg
unless they are homeless because its against the law to feed them what fuckery is this ?,neg
thank you Sir! A big salute to all my fellow veterans around the world!,pos
can't wait to be on the veterans list Mr President. Mutually loving them isn't a bad idea at all.,pos
so you can send them to war.something you never done.,neg
bitch,neg
by not sending them back sir.,neg
Only when it fits his agenda or a photo op opportunity.,neg
it should be every day. Respect to the veterans... Same in Finland veterans are old and few... We should remember every day...,pos
It's to bad that we didn't show our appreciation for all that they have done by getting out and voting in this last election!,neg
you are a HYPOCRIT! .CUTTING OUR MILITARY MEN &amp;WOMEN THEIR PAY. VA scandal letting our veterans die ! And still no change AHole,neg
Good morning  Presidente,pos
This Veterans Day let’s make sure all our vets know how much we appreciate them.  YES THANKS 4 ABANDONING Sgt #Tahmooressi 😐,neg
army shoot innocent civilians from Sunnis sect why u killing us tell me why why   http://t.co/KqinoZXdjM,neg
army from Shia Gangs make scary crimes against innocent civilians from Sunnis  Help civilians   http://t.co/ETN2HvLVt3,neg
If you do not know yet- God chosen POTUS as the most successful President in History.  EAT that devil.,neg
Yes indeed. You and your family are in my prayers... Take care,pos
I I Sir  Salute to my Commander in Chief.  Praying for you that God protect you from the Republican vultures.,pos
army. From Shia Gangs every day killing innocent civilian from Sunnis Help innocent civilians in Baghdad from Shia Gangs ,neg
the goverment is killing  the ppl please help,neg
mr president for far less you have defended other countries does your neighbors meant nothing  they are killing inocentes,neg
You're kidding me right? Is tammorrissi included in your thanks? Double that coffee cup salute Obama.#chickenincharge,neg
u care nothing about our veterans are u kidding me how dare u mention how u appreciate them my gosh what a joke u r,neg
send poor soldiers to fight dirty wars in behalf of rich cooperations. There is no terror besides wall street and zionists,neg
Great,pos
You never sounded alarm against the GOP congress 4 doing nothing 4 veterans. You let them cut servs &amp; waited 4 them 2 bitch.,neg
even the ones that feed the homeless Mr Obama? Haha,neg
Celebrate All Military personnel And Their families,pos
and you sir!,pos
Tell that to Tahmooressi and his family.,neg
Yes President of the United States of America ~GOD BLESS UNITEDSTATES OF AMERICA !™,pos
:Obama was born "BLACK" But Greed for GLOBAL DOMINATION made him "WHITE" and KILLER OF MANKIND .@FLOTUS,neg
In honor of our veterans  this Veterans Day !,pos
Yes. Thank a Veteran if you can. http://t.co/L1ZGzB20ga http://t.co/Gdae2bLAd3,pos
Put politics aside and love those who sacrifice for our country. Happy Veterans Day. #follow back,pos
....Give Veterans a #RAISE#...Republicans need 2 stop cutting funds &amp; taking money from Veterans/treated like #Throw-Aways#,neg
I Agree!! Great nation is a nation that respects their heros.,pos